"","user_id","activity_date","product_group","n_purchases","gold_spend"
"558",308075,2024-03-10,"Weapon",1,12
"559",280996,2024-03-10,"Weapon",2,26
"560",284950,2024-03-10,"Weapon",3,21
"561",283223,2024-03-10,"Weapon",2,55
"562",282306,2024-04-11,"Boost",1,2
"563",288149,2024-04-11,"Weapon",8,82
"564",274382,2024-04-11,"Weapon",1,4
"565",288760,2024-04-11,"Weapon",1,6
"566",279654,2024-04-11,"Weapon",3,15
"567",277659,2024-04-11,"Boost",4,22
"568",285326,2024-04-11,"Weapon",2,15
"569",289407,2024-04-11,"Weapon",1,15
"570",284380,2024-04-11,"Weapon",2,10
"571",279147,2024-04-11,"Weapon",2,41
"572",280709,2024-04-11,"Boost",1,2
"573",274741,2024-04-11,"Weapon",1,26
"574",303817,2024-03-02,"Weapon",2,43
"575",283372,2024-03-02,"Weapon",2,20
"576",306514,2024-03-02,"Weapon",4,20
"577",296273,2024-03-02,"Weapon",2,30
"578",290502,2024-03-02,"Weapon",3,61
"579",294582,2024-03-02,"Boost",2,448
"580",278445,2024-03-02,"Boost",1,4
"581",300985,2024-03-02,"Weapon",1,15
"582",298705,2024-03-02,"Boost",1,599
"583",293065,2024-03-02,"Boost",1,99
"584",290904,2024-03-02,"Weapon",1,15
"585",301556,2024-04-28,"Weapon",1,14
"586",305348,2024-04-28,"Boost",1,100
"587",298521,2024-04-28,"Boost",1,100
"588",285472,2024-03-14,"Weapon",7,93
"589",294374,2024-03-14,"Weapon",9,113
"590",302213,2024-03-14,"Weapon",2,25
"591",287339,2024-03-14,"Weapon",4,20
"592",277047,2024-03-14,"Weapon",5,48
"593",295090,2024-03-14,"Weapon",5,22
"594",297060,2024-03-14,"Weapon",6,33
"595",285164,2024-03-14,"Weapon",2,26
"596",296538,2024-03-14,"Weapon",1,5
"597",279957,2024-03-14,"Boost",1,5
"598",280348,2024-03-14,"Weapon",4,20
"599",272558,2024-03-14,"Boost",1,4
"600",306819,2024-03-14,"Weapon",2,28
"601",273794,2024-03-14,"Weapon",2,44
"602",283142,2024-03-14,"Weapon",1,38
"603",291350,2024-04-19,"Weapon",5,25
"604",274591,2024-04-19,"Weapon",1,7
"605",279616,2024-04-19,"Weapon",1,13
