"","user_id","activity_date","product_group","dollar_purchase_value","purchase_number"
"492",301239,2024-04-02,"Promotion",4.99,4
"493",305562,2024-04-19,"Remove Ads",4.99,1
"494",288359,2024-04-03,"Promotion",4.99,2
"495",290698,2024-04-11,"Promotion",9.99,24
"496",306606,2024-03-31,"Gold",4.99,6
"497",305746,2024-03-10,"Promotion",4.99,1
"498",281777,2024-04-20,"Promotion",4.99,5
"499",292919,2024-03-03,"Gold",4.99,1
"500",275379,2024-03-05,"Remove Ads",4.99,3
"501",284622,2024-04-07,"Gold",4.99,11
"502",284622,2024-04-20,"Gold",4.99,25
"503",301805,2024-03-16,"Gold",9.99,4
"504",284707,2024-03-21,"Gold",9.99,17
"505",284707,2024-04-13,"Remove Ads",4.99,30
"506",309395,2024-03-27,"Promotion",4.99,6
"507",272600,2024-03-27,"Gold",4.99,1
"508",282881,2024-03-11,"Gold",9.99,3
"509",296177,2024-03-28,"Gold",4.99,6
"510",296177,2024-04-18,"Remove Ads",4.99,17
"511",292726,2024-03-28,"Promotion",4.99,3
"512",299625,2024-03-14,"Gold",4.99,10
"513",308829,2024-03-16,"Gold",4.99,3
"514",272189,2024-04-05,"Promotion",4.99,8
"515",306713,2024-03-12,"Promotion",4.99,2
"516",278345,2024-04-09,"Gold",4.99,1
"517",306102,2024-04-08,"Remove Ads",4.99,7
"518",298176,2024-04-25,"Remove Ads",4.99,13
"519",306640,2024-03-21,"Promotion",4.99,7
"520",280323,2024-03-18,"Gold",4.99,6
"521",299527,2024-04-02,"Gold",4.99,38
"522",279199,2024-03-08,"Gold",9.99,28
"523",279199,2024-03-24,"Gold",19.99,76
"524",299554,2024-04-03,"Promotion",4.99,2
"525",307559,2024-04-13,"Gold",9.99,12
"526",294939,2024-03-13,"Gold",4.99,4
"527",273710,2024-03-19,"Gold",4.99,4
"528",280588,2024-04-07,"Promotion",4.99,7
"529",306311,2024-04-05,"Remove Ads",4.99,5
"530",295235,2024-04-02,"Remove Ads",4.99,18
"531",303509,2024-05-01,"Remove Ads",4.99,2
"532",305473,2024-03-03,"Promotion",4.99,1
"533",282798,2024-03-28,"Gold",4.99,8
"534",282798,2024-04-09,"Gold",4.99,24
"535",282798,2024-04-10,"Gold",4.99,59
"536",282798,2024-04-10,"Gold",4.99,61
"537",282798,2024-04-20,"Gold",4.99,123
"538",282798,2024-04-21,"Gold",4.99,142
"539",307631,2024-03-17,"Promotion",4.99,1
"540",308786,2024-04-01,"Remove Ads",4.99,7
"541",298686,2024-03-14,"Promotion",4.99,2
"542",282775,2024-04-13,"Promotion",9.99,5
"543",296504,2024-03-16,"Promotion",4.99,1
"544",281524,2024-04-21,"Promotion",4.99,1
"545",294893,2024-04-18,"Gold",4.99,6
"546",300371,2024-03-11,"Remove Ads",4.99,2
"547",295203,2024-04-03,"Promotion",4.99,12
"548",305044,2024-04-01,"Remove Ads",4.99,2
"549",278294,2024-04-26,"Remove Ads",4.99,9
"550",283924,2024-04-03,"Gold",4.99,1
"551",273898,2024-03-27,"Remove Ads",4.99,5
"552",289479,2024-03-06,"Promotion",4.99,2
"553",299625,2024-03-05,"Gold",4.99,2
"554",301356,2024-04-19,"Gold",4.99,15
"555",306713,2024-04-11,"Remove Ads",4.99,10
"556",295120,2024-04-06,"Promotion",4.99,1
